z_m,strain_verdadero,strain_das,strain_das_ruidoso
1010,5.86542e-11,5.78003e-11,5.78003e-11
1012,5.7262e-11,5.64284e-11,5.64284e-11
1014,5.5067e-11,5.42654e-11,5.42654e-11
1016,5.21e-11,5.13415e-11,5.13415e-11
1018,4.84025e-11,4.76978e-11,4.76978e-11
1020,4.40263e-11,4.33854e-11,4.33854e-11
1022,3.90329e-11,3.84647e-11,3.84647e-11
1024,3.34923e-11,3.30047e-11,3.30047e-11
1026,2.74821e-11,2.7082e-11,2.7082e-11
1028,2.10865e-11,2.07796e-11,2.07796e-11
1030,1.43953e-11,1.41858e-11,1.41858e-11
1032,7.50234e-12,7.39312e-12,7.39312e-12
1034,5.04151e-13,4.96812e-13,4.96812e-13
1036,-6.50111e-12,-6.40647e-12,-6.40647e-12
1038,-1.34152e-11,-1.32199e-11,-1.32199e-11
1040,-2.01412e-11,-1.9848e-11,-1.9848e-11
1042,-2.65849e-11,-2.61979e-11,-2.61979e-11
1044,-3.26558e-11,-3.21804e-11,-3.21804e-11
1046,-3.82688e-11,-3.77117e-11,-3.77117e-11
1048,-4.33454e-11,-4.27144e-11,-4.27144e-11
1050,-4.78142e-11,-4.71181e-11,-4.71181e-11
1052,-5.16126e-11,-5.08612e-11,-5.08612e-11
1054,-5.46874e-11,-5.38913e-11,-5.38913e-11
1056,-5.69955e-11,-5.61657e-11,-5.61657e-11
1058,-5.85044e-11,-5.76527e-11,-5.76527e-11
1060,-5.91931e-11,-5.83314e-11,-5.83314e-11
1062,-5.9052e-11,-5.81923e-11,-5.81923e-11
1064,-5.80828e-11,-5.72373e-11,-5.72373e-11
1066,-5.62994e-11,-5.54798e-11,-5.54798e-11
1068,-5.37266e-11,-5.29444e-11,-5.29444e-11
1070,-5.04005e-11,-4.96668e-11,-4.96668e-11
1072,-4.63678e-11,-4.56928e-11,-4.56928e-11
1074,-4.1685e-11,-4.10782e-11,-4.10782e-11
1076,-3.64178e-11,-3.58876e-11,-3.58876e-11
1078,-3.06399e-11,-3.01939e-11,-3.01939e-11
1080,-2.44325e-11,-2.40769e-11,-2.40769e-11
1082,-1.78826e-11,-1.76222e-11,-1.76222e-11
1084,-1.10819e-11,-1.09206e-11,-1.09206e-11
1086,-4.12584e-12,-4.06578e-12,-4.06578e-12
1088,2.88806e-12,2.84601e-12,2.84601e-12
1090,9.86146e-12,9.7179e-12,9.7179e-12
1092,1.66966e-11,1.64535e-11,1.64535e-11
1094,2.32977e-11,2.29585e-11,2.29585e-11
1096,2.95721e-11,2.91416e-11,2.91416e-11
1098,3.54319e-11,3.49161e-11,3.49161e-11
1100,4.07949e-11,4.0201e-11,4.0201e-11
1102,4.5586e-11,4.49223e-11,4.49223e-11
1104,4.97379e-11,4.90138e-11,4.90138e-11
1106,5.31925e-11,5.24182e-11,5.24182e-11
1108,5.59013e-11,5.50875e-11,5.50875e-11
1110,5.78264e-11,5.69846e-11,5.69846e-11
1112,5.89407e-11,5.80827e-11,5.80827e-11
1114,5.92287e-11,5.83664e-11,5.83664e-11
1116,5.86862e-11,5.78319e-11,5.78319e-11
1118,5.73209e-11,5.64865e-11,5.64865e-11
1120,5.5152e-11,5.43491e-11,5.43491e-11
1122,5.22098e-11,5.14498e-11,5.14498e-11
1124,4.85357e-11,4.78291e-11,4.78291e-11
1126,4.4181e-11,4.35378e-11,4.35378e-11
1128,3.92069e-11,3.86361e-11,3.86361e-11
1130,3.36831e-11,3.31928e-11,3.31928e-11
1132,2.76871e-11,2.7284e-11,2.7284e-11
1134,2.13029e-11,2.09927e-11,2.09927e-11
1136,1.462e-11,1.44071e-11,1.44071e-11
1138,7.73208e-12,7.61952e-12,7.61952e-12
1140,7.35805e-13,7.25093e-13,7.25093e-13
1142,-6.27079e-12,-6.1795e-12,-6.1795e-12
1144,-1.31895e-11,-1.29975e-11,-1.29975e-11
1146,-1.99232e-11,-1.96332e-11,-1.96332e-11
1148,-2.63776e-11,-2.59937e-11,-2.59937e-11
1150,-3.24622e-11,-3.19897e-11,-3.19897e-11
1152,-3.80917e-11,-3.75372e-11,-3.75372e-11
1154,-4.31871e-11,-4.25584e-11,-4.25584e-11
1156,-4.7677e-11,-4.6983e-11,-4.6983e-11
1158,-5.14985e-11,-5.07488e-11,-5.07488e-11
1160,-5.45979e-11,-5.38031e-11,-5.38031e-11
1162,-5.69319e-11,-5.61031e-11,-5.61031e-11
1164,-5.84676e-11,-5.76165e-11,-5.76165e-11
1166,-5.91836e-11,-5.83221e-11,-5.83221e-11
1168,-5.90699e-11,-5.821e-11,-5.821e-11
1170,-5.81279e-11,-5.72817e-11,-5.72817e-11
1172,-5.6371e-11,-5.55504e-11,-5.55504e-11
1174,-5.38237e-11,-5.30402e-11,-5.30402e-11
1176,-5.05218e-11,-4.97864e-11,-4.97864e-11
1178,-4.65116e-11,-4.58345e-11,-4.58345e-11
1180,-4.18493e-11,-4.12401e-11,-4.12401e-11
1182,-3.66002e-11,-3.60674e-11,-3.60674e-11
1184,-3.0838e-11,-3.0389e-11,-3.0389e-11
1186,-2.46434e-11,-2.42846e-11,-2.42846e-11
1188,-1.81033e-11,-1.78398e-11,-1.78398e-11
1190,-1.13094e-11,-1.11447e-11,-1.11447e-11
1192,-4.35691e-12,-4.29349e-12,-4.29349e-12
1194,2.65664e-12,2.61797e-12,2.61797e-12
1196,9.63295e-12,9.49272e-12,9.49272e-12
1198,1.64742e-11,1.62344e-11,1.62344e-11
1200,2.30845e-11,2.27484e-11,2.27484e-11
1202,2.93711e-11,2.89435e-11,2.89435e-11
1204,3.52459e-11,3.47328e-11,3.47328e-11
1206,4.06266e-11,4.00352e-11,4.00352e-11
1208,4.54377e-11,4.47762e-11,4.47762e-11
1210,4.96117e-11,4.88895e-11,4.88895e-11
1212,5.30901e-11,5.23173e-11,5.23173e-11
1214,5.58242e-11,5.50116e-11,5.50116e-11
1216,5.77757e-11,5.69346e-11,5.69346e-11
1218,5.89171e-11,5.80594e-11,5.80594e-11
1220,5.92324e-11,5.83701e-11,5.83701e-11
1222,5.87173e-11,5.78625e-11,5.78625e-11
1224,5.7379e-11,5.65437e-11,5.65437e-11
1226,5.52361e-11,5.4432e-11,5.4432e-11
1228,5.23189e-11,5.15573e-11,5.15573e-11
1230,4.86681e-11,4.79596e-11,4.79596e-11
1232,4.4335e-11,4.36896e-11,4.36896e-11
1234,3.93803e-11,3.8807e-11,3.8807e-11
1236,3.38734e-11,3.33803e-11,3.33803e-11
1238,2.78917e-11,2.74856e-11,2.74856e-11
1240,2.15189e-11,2.12056e-11,2.12056e-11
1242,1.48443e-11,1.46282e-11,1.46282e-11
1244,7.96171e-12,7.84581e-12,7.84581e-12
1246,9.67448e-13,9.53364e-13,9.53364e-13
1248,-6.04038e-12,-5.95244e-12,-5.95244e-12
1250,-1.29635e-11,-1.27748e-11,-1.27748e-11
1252,-1.97049e-11,-1.9418e-11,-1.9418e-11
1254,-2.617e-11,-2.5789e-11,-2.5789e-11
1256,-3.22682e-11,-3.17985e-11,-3.17985e-11
1258,-3.7914e-11,-3.73621e-11,-3.73621e-11
1260,-4.30282e-11,-4.24018e-11,-4.24018e-11
1262,-4.75392e-11,-4.68471e-11,-4.68471e-11
1264,-5.13836e-11,-5.06356e-11,-5.06356e-11
1266,-5.45076e-11,-5.37141e-11,-5.37141e-11
1268,-5.68674e-11,-5.60396e-11,-5.60396e-11
1270,-5.84299e-11,-5.75793e-11,-5.75793e-11
1272,-5.91732e-11,-5.83118e-11,-5.83118e-11
1274,-5.90869e-11,-5.82267e-11,-5.82267e-11
1276,-5.81721e-11,-5.73253e-11,-5.73253e-11
1278,-5.64418e-11,-5.56201e-11,-5.56201e-11
1280,-5.39201e-11,-5.31351e-11,-5.31351e-11
1282,-5.06424e-11,-4.99052e-11,-4.99052e-11
1284,-4.66547e-11,-4.59755e-11,-4.59755e-11
1286,-4.20129e-11,-4.14013e-11,-4.14013e-11
1288,-3.67821e-11,-3.62466e-11,-3.62466e-11
1290,-3.10355e-11,-3.05837e-11,-3.05837e-11
1292,-2.48539e-11,-2.44921e-11,-2.44921e-11
1294,-1.83237e-11,-1.8057e-11,-1.8057e-11
1296,-1.15367e-11,-1.13688e-11,-1.13688e-11
1298,-4.58792e-12,-4.52113e-12,-4.52113e-12
1300,2.42519e-12,2.38989e-12,2.38989e-12
1302,9.4043e-12,9.26739e-12,9.26739e-12
1304,1.62516e-11,1.6015e-11,1.6015e-11
1306,2.2871e-11,2.2538e-11,2.2538e-11
1308,2.91697e-11,2.87451e-11,2.87451e-11
1310,3.50595e-11,3.45491e-11,3.45491e-11
1312,4.04577e-11,3.98687e-11,3.98687e-11
1314,4.52887e-11,4.46294e-11,4.46294e-11
1316,4.94847e-11,4.87643e-11,4.87643e-11
1318,5.2987e-11,5.22156e-11,5.22156e-11
1320,5.57463e-11,5.49348e-11,5.49348e-11
1322,5.77241e-11,5.68837e-11,5.68837e-11
1324,5.88925e-11,5.80352e-11,5.80352e-11
1326,5.92353e-11,5.83729e-11,5.83729e-11
1328,5.87475e-11,5.78923e-11,5.78923e-11
1330,5.74361e-11,5.66e-11,5.66e-11
1332,5.53194e-11,5.45141e-11,5.45141e-11
1334,5.24271e-11,5.16639e-11,5.16639e-11
1336,4.87998e-11,4.80894e-11,4.80894e-11
1338,4.44883e-11,4.38407e-11,4.38407e-11
1340,3.9553e-11,3.89772e-11,3.89772e-11
1342,3.40632e-11,3.35673e-11,3.35673e-11
1344,2.80958e-11,2.76868e-11,2.76868e-11
1346,2.17345e-11,2.14181e-11,2.14181e-11
1348,1.50685e-11,1.48491e-11,1.48491e-11
1350,8.19121e-12,8.07197e-12,8.07197e-12
1352,1.19908e-12,1.18162e-12,1.18162e-12
1354,-5.80987e-12,-5.72529e-12,-5.72529e-12
1356,-1.27374e-11,-1.25519e-11,-1.25519e-11
1358,-1.94863e-11,-1.92026e-11,-1.92026e-11
1360,-2.5962e-11,-2.5584e-11,-2.5584e-11
1362,-3.20737e-11,-3.16068e-11,-3.16068e-11
1364,-3.77357e-11,-3.71864e-11,-3.71864e-11
1366,-4.28687e-11,-4.22446e-11,-4.22446e-11
1368,-4.74006e-11,-4.67106e-11,-4.67106e-11
1370,-5.12679e-11,-5.05216e-11,-5.05216e-11
1372,-5.44165e-11,-5.36243e-11,-5.36243e-11
1374,-5.68021e-11,-5.59752e-11,-5.59752e-11
1376,-5.83913e-11,-5.75413e-11,-5.75413e-11
1378,-5.91619e-11,-5.83006e-11,-5.83006e-11
1380,-5.9103e-11,-5.82426e-11,-5.82426e-11
1382,-5.82154e-11,-5.7368e-11,-5.7368e-11
1384,-5.65117e-11,-5.5689e-11,-5.5689e-11
1386,-5.40156e-11,-5.32293e-11,-5.32293e-11
1388,-5.07622e-11,-5.00232e-11,-5.00232e-11
1390,-4.67971e-11,-4.61159e-11,-4.61159e-11
1392,-4.21759e-11,-4.15619e-11,-4.15619e-11
1394,-3.69634e-11,-3.64253e-11,-3.64253e-11
1396,-3.12326e-11,-3.0778e-11,-3.0778e-11
1398,-2.5064e-11,-2.46991e-11,-2.46991e-11
1400,-1.85439e-11,-1.82739e-11,-1.82739e-11
1402,-1.17638e-11,-1.15926e-11,-1.15926e-11
1404,-4.81885e-12,-4.7487e-12,-4.7487e-12
1406,2.1937e-12,2.16176e-12,2.16176e-12
1408,9.1755e-12,9.04192e-12,9.04192e-12
1410,1.60286e-11,1.57953e-11,1.57953e-11
1412,2.26571e-11,2.23272e-11,2.23272e-11
1414,2.89678e-11,2.85461e-11,2.85461e-11
1416,3.48725e-11,3.43648e-11,3.43648e-11
1418,4.02882e-11,3.97017e-11,3.97017e-11
1420,4.5139e-11,4.44819e-11,4.44819e-11
1422,4.9357e-11,4.86385e-11,4.86385e-11
1424,5.2883e-11,5.21131e-11,5.21131e-11
1426,5.56675e-11,5.48571e-11,5.48571e-11
1428,5.76716e-11,5.6832e-11,5.6832e-11
1430,5.88671e-11,5.80101e-11,5.80101e-11
1432,5.92372e-11,5.83749e-11,5.83749e-11
1434,5.87768e-11,5.79212e-11,5.79212e-11
1436,5.74924e-11,5.66554e-11,5.66554e-11
1438,5.54019e-11,5.45953e-11,5.45953e-11
1440,5.25346e-11,5.17698e-11,5.17698e-11
1442,4.89308e-11,4.82185e-11,4.82185e-11
1444,4.46409e-11,4.39911e-11,4.39911e-11
1446,3.97252e-11,3.91469e-11,3.91469e-11
1448,3.42525e-11,3.37539e-11,3.37539e-11
1450,2.82996e-11,2.78876e-11,2.78876e-11
1452,2.19499e-11,2.16303e-11,2.16303e-11
1454,1.52924e-11,1.50698e-11,1.50698e-11
1456,8.42059e-12,8.29801e-12,8.29801e-12
1458,1.43069e-12,1.40986e-12,1.40986e-12
1460,-5.57928e-12,-5.49806e-12,-5.49806e-12
1462,-1.2511e-11,-1.23289e-11,-1.23289e-11
1464,-1.92674e-11,-1.89869e-11,-1.89869e-11
1466,-2.57535e-11,-2.53786e-11,-2.53786e-11
1468,-3.18787e-11,-3.14146e-11,-3.14146e-11
1470,-3.75568e-11,-3.70101e-11,-3.70101e-11
1472,-4.27085e-11,-4.20867e-11,-4.20867e-11
1474,-4.72613e-11,-4.65733e-11,-4.65733e-11
1476,-5.11515e-11,-5.04068e-11,-5.04068e-11
1478,-5.43245e-11,-5.35337e-11,-5.35337e-11
1480,-5.67359e-11,-5.591e-11,-5.591e-11
1482,-5.83519e-11,-5.75024e-11,-5.75024e-11
1484,-5.91497e-11,-5.82886e-11,-5.82886e-11
1486,-5.91182e-11,-5.82576e-11,-5.82576e-11
1488,-5.82579e-11,-5.74098e-11,-5.74098e-11
1490,-5.65807e-11,-5.5757e-11,-5.5757e-11
1492,-5.41103e-11,-5.33226e-11,-5.33226e-11
1494,-5.08812e-11,-5.01405e-11,-5.01405e-11
1496,-4.69388e-11,-4.62555e-11,-4.62555e-11
1498,-4.23383e-11,-4.17219e-11,-4.17219e-11
1500,-3.71441e-11,-3.66034e-11,-3.66034e-11
1502,-3.14292e-11,-3.09717e-11,-3.09717e-11
1504,-2.52737e-11,-2.49058e-11,-2.49058e-11
1506,-1.87638e-11,-1.84906e-11,-1.84906e-11
1508,-1.19908e-11,-1.18162e-11,-1.18162e-11
1510,-5.04972e-12,-4.9762e-12,-4.9762e-12
1512,1.96218e-12,1.93361e-12,1.93361e-12
1514,8.94656e-12,8.81631e-12,8.81631e-12
1516,1.58055e-11,1.55754e-11,1.55754e-11
1518,2.24428e-11,2.21161e-11,2.21161e-11
1520,2.87655e-11,2.83468e-11,2.83468e-11
1522,3.46849e-11,3.418e-11,3.418e-11
1524,4.0118e-11,3.9534e-11,3.9534e-11
1526,4.49886e-11,4.43337e-11,4.43337e-11
1528,4.92285e-11,4.85119e-11,4.85119e-11
1530,5.27782e-11,5.20098e-11,5.20098e-11
1532,5.55879e-11,5.47786e-11,5.47786e-11
1534,5.76182e-11,5.67794e-11,5.67794e-11
1536,5.88407e-11,5.79841e-11,5.79841e-11
1538,5.92382e-11,5.83759e-11,5.83759e-11
1540,5.88052e-11,5.79492e-11,5.79492e-11
1542,5.75478e-11,5.671e-11,5.671e-11
1544,5.54835e-11,5.46757e-11,5.46757e-11
1546,5.26412e-11,5.18749e-11,5.18749e-11
1548,4.9061e-11,4.83468e-11,4.83468e-11
1550,4.47929e-11,4.41408e-11,4.41408e-11
1552,3.98967e-11,3.93159e-11,3.93159e-11
1554,3.44413e-11,3.39399e-11,3.39399e-11
1556,2.85029e-11,2.80879e-11,2.80879e-11
1558,2.21649e-11,2.18422e-11,2.18422e-11
1560,1.55161e-11,1.52903e-11,1.52903e-11
1562,8.64984e-12,8.52392e-12,8.52392e-12
1564,1.66227e-12,1.63807e-12,1.63807e-12
1566,-5.3486e-12,-5.27074e-12,-5.27074e-12
1568,-1.22845e-11,-1.21057e-11,-1.21057e-11
1570,-1.90481e-11,-1.87708e-11,-1.87708e-11
1572,-2.55447e-11,-2.51729e-11,-2.51729e-11
1574,-3.16832e-11,-3.12219e-11,-3.12219e-11
1576,-3.73774e-11,-3.68333e-11,-3.68333e-11
1578,-4.25476e-11,-4.19282e-11,-4.19282e-11
1580,-4.71212e-11,-4.64353e-11,-4.64353e-11
1582,-5.10342e-11,-5.02913e-11,-5.02913e-11
1584,-5.42317e-11,-5.34422e-11,-5.34422e-11
1586,-5.66689e-11,-5.58439e-11,-5.58439e-11
1588,-5.83115e-11,-5.74626e-11,-5.74626e-11
1590,-5.91365e-11,-5.82757e-11,-5.82757e-11
1592,-5.91325e-11,-5.82717e-11,-5.82717e-11
1594,-5.82994e-11,-5.74507e-11,-5.74507e-11
1596,-5.66489e-11,-5.58242e-11,-5.58242e-11
1598,-5.42042e-11,-5.34151e-11,-5.34151e-11
1600,-5.09995e-11,-5.02571e-11,-5.02571e-11
1602,-4.70798e-11,-4.63944e-11,-4.63944e-11
1604,-4.25e-11,-4.18813e-11,-4.18813e-11
1606,-3.73243e-11,-3.6781e-11,-3.6781e-11
1608,-3.16254e-11,-3.1165e-11,-3.1165e-11
1610,-2.5483e-11,-2.5112e-11,-2.5112e-11
1612,-1.89834e-11,-1.8707e-11,-1.8707e-11
1614,-1.22176e-11,-1.20397e-11,-1.20397e-11
1616,-5.2805e-12,-5.20363e-12,-5.20363e-12
1618,1.73062e-12,1.70543e-12,1.70543e-12
1620,8.71748e-12,8.59057e-12,8.59057e-12
1622,1.55821e-11,1.53553e-11,1.53553e-11
1624,2.22283e-11,2.19047e-11,2.19047e-11
1626,2.85628e-11,2.8147e-11,2.8147e-11
1628,3.44969e-11,3.39947e-11,3.39947e-11
1630,3.99473e-11,3.93657e-11,3.93657e-11
1632,4.48376e-11,4.41849e-11,4.41849e-11
1634,4.90993e-11,4.83845e-11,4.83845e-11
1636,5.26726e-11,5.19058e-11,5.19058e-11
1638,5.55074e-11,5.46993e-11,5.46993e-11
1640,5.7564e-11,5.6726e-11,5.6726e-11
1642,5.88135e-11,5.79573e-11,5.79573e-11
1644,5.92384e-11,5.8376e-11,5.8376e-11
1646,5.88328e-11,5.79763e-11,5.79763e-11
1648,5.76023e-11,5.67637e-11,5.67637e-11
1650,5.55642e-11,5.47553e-11,5.47553e-11
1652,5.27471e-11,5.19792e-11,5.19792e-11
1654,4.91904e-11,4.84743e-11,4.84743e-11
1656,4.49441e-11,4.42899e-11,4.42899e-11
1658,4.00677e-11,3.94844e-11,3.94844e-11
1660,3.46295e-11,3.41254e-11,3.41254e-11
1662,2.87057e-11,2.82879e-11,2.82879e-11
1664,2.23796e-11,2.20538e-11,2.20538e-11
1666,1.57396e-11,1.55105e-11,1.55105e-11
1668,8.87896e-12,8.7497e-12,8.7497e-12
1670,1.89384e-12,1.86627e-12,1.86627e-12
1672,-5.11784e-12,-5.04333e-12,-5.04333e-12
1674,-1.20578e-11,-1.18822e-11,-1.18822e-11
1676,-1.88286e-11,-1.85545e-11,-1.85545e-11
1678,-2.53355e-11,-2.49667e-11,-2.49667e-11
1680,-3.14872e-11,-3.10288e-11,-3.10288e-11
1682,-3.71974e-11,-3.66559e-11,-3.66559e-11
1684,-4.23861e-11,-4.1769e-11,-4.1769e-11
1686,-4.69805e-11,-4.62966e-11,-4.62966e-11
1688,-5.09162e-11,-5.0175e-11,-5.0175e-11
1690,-5.41381e-11,-5.335e-11,-5.335e-11
1692,-5.66009e-11,-5.5777e-11,-5.5777e-11
1694,-5.82702e-11,-5.74219e-11,-5.74219e-11
1696,-5.91225e-11,-5.82618e-11,-5.82618e-11
1698,-5.91459e-11,-5.82849e-11,-5.82849e-11
1700,-5.834e-11,-5.74907e-11,-5.74907e-11
1702,-5.67162e-11,-5.58906e-11,-5.58906e-11
1704,-5.42972e-11,-5.35068e-11,-5.35068e-11
1706,-5.1117e-11,-5.03728e-11,-5.03728e-11
1708,-4.722e-11,-4.65326e-11,-4.65326e-11
1710,-4.2661e-11,-4.204e-11,-4.204e-11
1712,-3.75039e-11,-3.6958e-11,-3.6958e-11
1714,-3.1821e-11,-3.13578e-11,-3.13578e-11
1716,-2.5692e-11,-2.53179e-11,-2.53179e-11
1718,-1.92027e-11,-1.89231e-11,-1.89231e-11
1720,-1.24442e-11,-1.2263e-11,-1.2263e-11
1722,-5.5112e-12,-5.43097e-12,-5.43097e-12
1724,1.49904e-12,1.47722e-12,1.47722e-12
1726,8.48827e-12,8.3647e-12,8.3647e-12
1728,1.53585e-11,1.51349e-11,1.51349e-11
1730,2.20134e-11,2.16929e-11,2.16929e-11
1732,2.83596e-11,2.79468e-11,2.79468e-11
1734,3.43083e-11,3.38088e-11,3.38088e-11
1736,3.97759e-11,3.91968e-11,3.91968e-11
1738,4.46858e-11,4.40353e-11,4.40353e-11
1740,4.89693e-11,4.82564e-11,4.82564e-11
1742,5.25662e-11,5.18009e-11,5.18009e-11
1744,5.5426e-11,5.46192e-11,5.46192e-11
1746,5.75088e-11,5.66716e-11,5.66716e-11
1748,5.87853e-11,5.79295e-11,5.79295e-11
1750,5.92376e-11,5.83753e-11,5.83753e-11
1752,5.88594e-11,5.80025e-11,5.80025e-11
1754,5.76559e-11,5.68166e-11,5.68166e-11
1756,5.56441e-11,5.4834e-11,5.4834e-11
1758,5.28521e-11,5.20827e-11,5.20827e-11
1760,4.93192e-11,4.86012e-11,4.86012e-11
1762,4.50947e-11,4.44382e-11,4.44382e-11
1764,4.0238e-11,3.96522e-11,3.96522e-11
1766,3.48172e-11,3.43103e-11,3.43103e-11
1768,2.89082e-11,2.84873e-11,2.84873e-11
1770,2.25939e-11,2.2265e-11,2.2265e-11
1772,1.59628e-11,1.57304e-11,1.57304e-11
1774,9.10794e-12,8.97535e-12,8.97535e-12
1776,2.12537e-12,2.09443e-12,2.09443e-12
1778,-4.887e-12,-4.81586e-12,-4.81586e-12
1780,-1.18309e-11,-1.16586e-11,-1.16586e-11
1782,-1.86088e-11,-1.83379e-11,-1.83379e-11
1784,-2.51259e-11,-2.47601e-11,-2.47601e-11
1786,-3.12907e-11,-3.08352e-11,-3.08352e-11
1788,-3.70168e-11,-3.64779e-11,-3.64779e-11
1790,-4.22239e-11,-4.16092e-11,-4.16092e-11
1792,-4.6839e-11,-4.61572e-11,-4.61572e-11
1794,-5.07974e-11,-5.00579e-11,-5.00579e-11
1796,-5.40436e-11,-5.32569e-11,-5.32569e-11
1798,-5.65321e-11,-5.57092e-11,-5.57092e-11
1800,-5.8228e-11,-5.73804e-11,-5.73804e-11
1802,-5.91076e-11,-5.82471e-11,-5.82471e-11
1804,-5.91584e-11,-5.82972e-11,-5.82972e-11
1806,-5.83798e-11,-5.75299e-11,-5.75299e-11
1808,-5.67827e-11,-5.5956e-11,-5.5956e-11
1810,-5.43894e-11,-5.35977e-11,-5.35977e-11
1812,-5.12337e-11,-5.04878e-11,-5.04878e-11
1814,-4.73595e-11,-4.66701e-11,-4.66701e-11
1816,-4.28215e-11,-4.21981e-11,-4.21981e-11
1818,-3.7683e-11,-3.71344e-11,-3.71344e-11
1820,-3.20162e-11,-3.15501e-11,-3.15501e-11
1822,-2.59005e-11,-2.55235e-11,-2.55235e-11
1824,-1.94217e-11,-1.9139e-11,-1.9139e-11
1826,-1.26706e-11,-1.24861e-11,-1.24861e-11
1828,-5.74182e-12,-5.65824e-12,-5.65824e-12
1830,1.26744e-12,1.24899e-12,1.24899e-12
1832,8.25893e-12,8.1387e-12,8.1387e-12
1834,1.51346e-11,1.49143e-11,1.49143e-11
1836,2.17981e-11,2.14808e-11,2.14808e-11
1838,2.8156e-11,2.77461e-11,2.77461e-11
1840,3.41191e-11,3.36224e-11,3.36224e-11
1842,3.96039e-11,3.90274e-11,3.90274e-11
1844,4.45334e-11,4.38851e-11,4.38851e-11
1846,4.88385e-11,4.81276e-11,4.81276e-11
1848,5.24589e-11,5.16953e-11,5.16953e-11
1850,5.53438e-11,5.45382e-11,5.45382e-11
1852,5.74528e-11,5.66164e-11,5.66164e-11
1854,5.87563e-11,5.79009e-11,5.79009e-11
1856,5.92359e-11,5.83736e-11,5.83736e-11
1858,5.88851e-11,5.80279e-11,5.80279e-11
1860,5.77087e-11,5.68686e-11,5.68686e-11
1862,5.57231e-11,5.49119e-11,5.49119e-11
1864,5.29564e-11,5.21854e-11,5.21854e-11
1866,4.94471e-11,4.87273e-11,4.87273e-11
1868,4.52446e-11,4.45859e-11,4.45859e-11
1870,4.04077e-11,3.98195e-11,3.98195e-11
1872,3.50043e-11,3.44948e-11,3.44948e-11
1874,2.91102e-11,2.86864e-11,2.86864e-11
1876,2.28079e-11,2.24758e-11,2.24758e-11
1878,1.61858e-11,1.59502e-11,1.59502e-11
1880,9.33678e-12,9.20086e-12,9.20086e-12
1882,2.35687e-12,2.32256e-12,2.32256e-12
1884,-4.65609e-12,-4.5883e-12,-4.5883e-12
1886,-1.16038e-11,-1.14348e-11,-1.14348e-11
1888,-1.83887e-11,-1.81211e-11,-1.81211e-11
1890,-2.49159e-11,-2.45532e-11,-2.45532e-11
1892,-3.10938e-11,-3.06411e-11,-3.06411e-11
1894,-3.68357e-11,-3.62994e-11,-3.62994e-11
1896,-4.20611e-11,-4.14488e-11,-4.14488e-11
1898,-4.66968e-11,-4.6017e-11,-4.6017e-11
1900,-5.06779e-11,-4.99401e-11,-4.99401e-11
1902,-5.39484e-11,-5.3163e-11,-5.3163e-11
1904,-5.64625e-11,-5.56405e-11,-5.56405e-11
1906,-5.8185e-11,-5.7338e-11,-5.7338e-11
1908,-5.90917e-11,-5.82315e-11,-5.82315e-11
1910,-5.917e-11,-5.83086e-11,-5.83086e-11
1912,-5.84186e-11,-5.75682e-11,-5.75682e-11
1914,-5.68482e-11,-5.60207e-11,-5.60207e-11
1916,-5.44808e-11,-5.36877e-11,-5.36877e-11
1918,-5.13496e-11,-5.0602e-11,-5.0602e-11
1920,-4.74984e-11,-4.68069e-11,-4.68069e-11
1922,-4.29812e-11,-4.23555e-11,-4.23555e-11
1924,-3.78614e-11,-3.73103e-11,-3.73103e-11
1926,-3.22109e-11,-3.17419e-11,-3.17419e-11
1928,-2.61087e-11,-2.57286e-11,-2.57286e-11
1930,-1.96404e-11,-1.93545e-11,-1.93545e-11
1932,-1.28968e-11,-1.2709e-11,-1.2709e-11
1934,-5.97235e-12,-5.88541e-12,-5.88541e-12
1936,1.03581e-12,1.02073e-12,1.02073e-12
1938,8.02946e-12,7.91257e-12,7.91257e-12
1940,1.49105e-11,1.46935e-11,1.46935e-11
1942,2.15825e-11,2.12684e-11,2.12684e-11
1944,2.7952e-11,2.75451e-11,2.75451e-11
1946,3.39295e-11,3.34356e-11,3.34356e-11
1948,3.94313e-11,3.88573e-11,3.88573e-11
1950,4.43803e-11,4.37342e-11,4.37342e-11
1952,4.87071e-11,4.7998e-11,4.7998e-11
1954,5.23509e-11,5.15888e-11,5.15888e-11
1956,5.52608e-11,5.44563e-11,5.44563e-11
1958,5.73959e-11,5.65604e-11,5.65604e-11
1960,5.87263e-11,5.78714e-11,5.78714e-11
1962,5.92333e-11,5.83711e-11,5.83711e-11
1964,5.89099e-11,5.80523e-11,5.80523e-11
1966,5.77605e-11,5.69197e-11,5.69197e-11
1968,5.58013e-11,5.4989e-11,5.4989e-11
1970,5.30598e-11,5.22873e-11,5.22873e-11
1972,4.95743e-11,4.88526e-11,4.88526e-11
1974,4.53938e-11,4.4733e-11,4.4733e-11
1976,4.05768e-11,3.99861e-11,3.99861e-11
1978,3.5191e-11,3.46787e-11,3.46787e-11
1980,2.93117e-11,2.8885e-11,2.8885e-11
1982,2.30215e-11,2.26864e-11,2.26864e-11
1984,1.64085e-11,1.61696e-11,1.61696e-11
1986,9.56548e-12,9.42623e-12,9.42623e-12
1988,2.58834e-12,2.55066e-12,2.55066e-12
1990,-4.4251e-12,-4.36068e-12,-4.36068e-12
1992,-1.13765e-11,-1.12109e-11,-1.12109e-11
