z_m,strain_verdadero,strain_das,strain_das_ruidoso
228,-3.49384e-11,-3.44298e-11,-3.44298e-11
230,-2.9039e-11,-2.86163e-11,-2.86163e-11
232,-2.27325e-11,-2.24016e-11,-2.24016e-11
234,-1.61072e-11,-1.58728e-11,-1.58728e-11
236,-9.25615e-12,-9.1214e-12,-9.1214e-12
238,-2.27529e-12,-2.24216e-12,-2.24216e-12
240,4.73747e-12,4.66851e-12,4.66851e-12
242,1.16838e-11,1.15137e-11,1.15137e-11
244,1.84663e-11,1.81975e-11,1.81975e-11
246,2.499e-11,2.46262e-11,2.46262e-11
248,3.11632e-11,3.07096e-11,3.07096e-11
250,3.68996e-11,3.63624e-11,3.63624e-11
252,4.21185e-11,4.15054e-11,4.15054e-11
254,4.6747e-11,4.60665e-11,4.60665e-11
256,5.07201e-11,4.99817e-11,4.99817e-11
258,5.3982e-11,5.31962e-11,5.31962e-11
260,5.64871e-11,5.56648e-11,5.56648e-11
262,5.82003e-11,5.7353e-11,5.7353e-11
264,5.90974e-11,5.82371e-11,5.82371e-11
266,5.9166e-11,5.83047e-11,5.83047e-11
268,5.8405e-11,5.75548e-11,5.75548e-11
270,5.68252e-11,5.5998e-11,5.5998e-11
272,5.44487e-11,5.36561e-11,5.36561e-11
274,5.13088e-11,5.05619e-11,5.05619e-11
276,4.74495e-11,4.67588e-11,4.67588e-11
278,4.2925e-11,4.23001e-11,4.23001e-11
280,3.77986e-11,3.72484e-11,3.72484e-11
282,3.21423e-11,3.16744e-11,3.16744e-11
284,2.60353e-11,2.56563e-11,2.56563e-11
286,1.95634e-11,1.92786e-11,1.92786e-11
288,1.28171e-11,1.26305e-11,1.26305e-11
290,5.89112e-12,5.80536e-12,5.80536e-12
292,-1.11745e-12,-1.10118e-12,-1.10118e-12
294,-8.11034e-12,-7.99228e-12,-7.99228e-12
296,-1.49895e-11,-1.47713e-11,-1.47713e-11
298,-2.16586e-11,-2.13433e-11,-2.13433e-11
300,-2.80239e-11,-2.7616e-11,-2.7616e-11
